id_site,x_theo,y_theo,argile,limon_fin,limon_grossier,sable_fin,sable_grossier,cec_40_1,ca_ech_40_3,k_ech_40_3,mg_ech_40_3,na_ech_40_3,mn_ech_40,al_ech_40_3,fe_ech_40_3,p_ass_81_1,calc_tot_2_1_2,ph_eau_6_1,carbone_16_5_1,n_tot_31_1,al_tot_hf,ca_tot_hf,fe_tot_hf,mg_tot_hf,mn_tot_hf,k_tot_hf,na_tot_hf,b_ext_65_1,cd_tot_hf,cd_ext_66_1,co_tot_hf,cr_tot_hf,cr_ext_66_1,cu_tot_hf,cu_ext_66_1,mo_tot_hf,ni_tot_hf,ni_ext_66_1,pb_tot_hf,pb_ext_66_1,tl_tot_hf,zn_tot_hf,zn_ext_66_1
6,652326.99,7101219.71,247.0,122.0,131.0,479.0,21.0,17.35,16.25,0.61,0.839,0.089,0.0025,0.02,0.005,0.039,55.0,8.16,12.92,1.315,3.45,2.85,2.06,0.46,254.4,1.35,0.5,0.535,0.301,0.204,4.87,46.87,0.117,10.01,3.731,0.27,14.0,0.828,21.31,13.367,0.34013,58.53,3.571
6,652326.99,7101219.71,312.0,184.0,128.0,370.0,6.0,17.35,17.42,0.46,0.575,0.12,0.0025,0.01,0.005,0.008,170.0,8.42,5.247,0.597,3.78,7.66,2.36,0.57,252.9,1.37,0.43,0.429,0.077,0.049,6.04,49.71,0.164,4.55,0.561,0.23,15.2,0.204,10.54,3.005,0.32444,42.56,0.262
7,668319.25,7101085.53,186.0,134.0,232.0,442.0,6.0,14.3,13.89,0.57,0.49,0.06,0.0025,0.02,0.005,0.088,63.0,8.2,14.3,1.42,3.46,3.11,1.66,0.51,230.7,1.32,0.57,0.513,0.26,0.144,5.27,37.65,0.19,7.26,2.12,0.4,14.14,1.43,18.21,4.99,0.387,48.77,3.28
7,668319.25,7101085.53,333.0,261.0,256.0,147.0,3.0,19.15,18.41,0.49,0.89,0.137,0.0025,0.01,0.005,0.01,71.0,8.3,7.45,0.91,5.11,3.47,2.84,0.77,256.3,1.71,0.53,0.488,0.1,0.043,7.76,62.67,0.05,5.96,0.85,1.15,22.3,0.93,17.17,2.36,0.505,58.51,0.8
8,604216.81,7085629.01,313.0,166.0,195.0,271.0,55.0,24.43,23.43,0.4,2.483,0.15,0.006,0.03,0.005,0.042,39.0,7.56,37.513,3.797,3.81,1.95,2.21,0.56,493.7,1.1,0.13,0.256,0.21,0.127,11.8,55.92,0.3,10.96,2.836,0.71,27.03,2.746,26.06,7.478,0.41274,65.75,3.318
8,604216.81,7085629.01,444.0,213.0,129.0,173.0,41.0,24.01,21.9,0.52,2.762,0.233,0.0025,0.01,0.005,0.006,92.0,8.33,6.891,0.833,6.09,3.72,3.59,1.26,408.5,2.01,0.11,0.236,0.08,0.041,15.44,71.99,0.108,11.54,1.008,0.81,36.75,0.824,23.29,3.662,0.53486,81.53,0.462
9,620208.83,7085495.39,160.0,208.0,491.0,129.0,12.0,11.04,11.95,0.39,0.231,0.063,0.0025,0.04,0.005,0.171,10.0,8.05,9.502,1.055,4.03,0.85,1.94,0.32,621.3,1.57,0.68,0.303,0.45,0.266,8.69,43.2,0.074,15.4,5.447,0.48,17.6,1.017,27.2,7.192,0.48723,52.2,3.763
9,620208.83,7085495.39,208.0,224.0,458.0,107.0,3.0,11.96,12.28,0.34,0.281,0.085,0.0025,0.05,0.01,0.069,2.0,8.03,5.034,0.607,4.65,0.52,2.44,0.4,615.8,1.68,0.66,0.205,0.24,0.079,10.38,48.1,0.024,13.6,2.326,0.65,21.8,0.53,23.48,2.932,0.53162,52.7,0.761
10,636200.84,7085361.59,188.0,231.0,501.0,59.0,21.0,11.97,11.11,0.59,0.767,0.08,0.015,0.04,0.005,0.229,1.0,6.62,12.768,1.331,4.05,0.55,1.88,0.31,466.2,1.6,0.73,0.47,0.29,0.195,7.34,38.45,0.099,18.1,8.162,0.47,15.6,1.954,28.64,8.111,0.48082,65.1,7.262
10,636200.84,7085361.59,204.0,222.0,460.0,99.0,15.0,13.74,12.7,0.23,0.714,0.111,0.006,0.03,0.005,0.133,1.0,7.21,6.354,0.742,4.43,0.57,2.19,0.34,640.6,1.59,0.7,0.288,0.18,0.083,8.72,42.73,0.107,14.1,4.825,0.45,18.4,1.529,22.66,3.708,0.50411,61.4,2.229
11,652192.84,7085227.59,176.0,193.0,446.0,153.0,32.0,13.18,12.43,0.47,1.002,0.155,0.0025,0.02,0.005,0.145,4.0,7.5,16.868,1.749,3.81,0.67,1.79,0.33,399.2,1.52,0.71,0.231,0.18,0.117,6.87,41.39,0.173,15.21,5.489,0.49,14.68,1.128,26.38,9.205,0.31441,53.7,4.123
11,652192.84,7085227.59,177.0,199.0,456.0,144.0,24.0,10.04,7.78,0.18,0.691,0.064,0.014,0.07,0.005,0.019,1.0,6.11,6.639,0.807,4.13,0.38,1.98,0.31,497.2,1.59,0.72,0.195,0.12,0.062,8.83,43.28,0.041,12.04,2.749,0.5,17.31,1.015,16.85,3.529,0.3035,46.5,0.558
12,668184.88,7085093.38,215.0,188.0,320.0,229.0,48.0,20.21,18.31,0.69,1.246,0.111,0.007,0.01,0.005,0.189,2.0,7.45,29.652,2.959,3.74,0.67,1.83,0.27,393.9,1.41,0.55,0.297,0.24,0.192,6.14,51.74,0.147,12.52,5.404,0.53,12.55,1.71,18.84,8.543,0.29836,58.58,8.199
12,668184.88,7085093.38,223.0,182.0,324.0,227.0,44.0,14.71,11.5,0.32,1.626,0.174,0.005,0.01,0.005,0.024,1.0,7.48,7.362,0.868,4.02,0.38,1.88,0.3,217.1,1.42,0.56,0.173,0.06,0.035,7.26,48.1,0.037,8.69,1.75,0.45,13.12,0.782,12.69,2.836,0.30084,38.44,0.549
16,604083.36,7069637.17,345.0,196.0,150.0,272.0,37.0,20.42,19.31,0.24,1.432,0.132,0.018,0.03,0.005,0.04,2.0,6.2,32.598,3.256,4.69,0.64,2.72,0.42,369.5,1.23,0.17,0.405,0.233,0.121,8.64,66.7,0.302,11.56,2.614,1.09,29.08,2.76,34.38,7.661,0.55282,58.35,1.488
16,604083.36,7069637.17,351.0,202.0,151.0,256.0,40.0,17.59,16.13,0.25,1.154,0.116,0.015,0.04,0.005,0.015,1.0,6.2,16.738,1.808,4.87,0.46,2.89,0.42,290.4,1.38,0.19,0.567,0.171,0.055,10.18,70.06,0.131,12.69,2.08,1.22,31.98,2.22,27.49,4.916,0.58143,58.39,0.471
17,620075.13,7069503.54,350.0,142.0,131.0,320.0,57.0,22.32,20.17,0.58,2.495,0.142,0.168,0.04,0.005,0.05,1.0,5.66,42.333,4.47,3.88,0.5,3.91,0.35,1314.0,1.09,0.11,0.442,0.35,0.201,16.48,63.27,0.336,10.84,3.452,0.96,30.11,5.609,31.89,8.002,0.47725,85.69,5.339
17,620075.13,7069503.54,371.0,136.0,124.0,301.0,68.0,21.41,18.71,0.44,2.199,0.13,0.022,0.01,0.005,0.01,1.0,6.93,11.039,1.223,4.48,0.47,4.85,0.42,1446.0,1.32,0.12,0.233,0.19,0.086,19.25,54.03,0.043,9.82,1.978,0.97,37.35,4.695,23.66,3.914,0.48244,76.44,1.355
18,636066.89,7069369.71,207.0,249.0,447.0,78.0,19.0,13.27,13.46,0.57,0.329,0.101,0.0025,0.03,0.005,0.146,10.0,8.0,11.162,1.176,4.32,0.83,2.41,0.36,547.6,1.54,0.63,0.105,0.34,0.154,9.54,58.7,0.059,16.76,3.043,0.58,22.31,0.632,24.85,4.756,0.4472,57.49,3.371
18,636066.89,7069369.71,250.0,235.0,397.0,92.0,26.0,13.34,12.86,0.27,0.304,0.068,0.0025,0.02,0.005,0.033,1.0,7.87,4.262,0.525,5.0,0.54,3.13,0.43,578.7,1.65,0.57,0.067,0.14,0.032,10.69,69.92,0.01,16.49,1.284,0.64,26.4,0.238,23.45,2.241,0.4969,57.85,0.655
19,652058.67,7069235.66,151.0,239.0,505.0,80.0,25.0,10.25,10.24,0.51,0.69,0.034,0.0025,0.01,0.005,0.224,2.0,8.01,10.964,1.062,3.62,0.61,1.75,0.28,587.7,1.62,0.71,0.233,0.4,0.234,7.3,39.7,0.084,17.37,6.36,0.56,17.4,1.305,34.86,9.923,0.4197,54.87,5.806
19,652058.67,7069235.66,190.0,250.0,478.0,72.0,10.0,9.71,9.25,0.34,0.523,0.073,0.0025,0.02,0.005,0.053,1.0,7.84,4.885,0.595,4.18,0.44,2.07,0.34,658.2,1.71,0.71,0.185,0.17,0.058,8.12,45.3,0.01,13.61,2.71,0.52,19.63,0.802,22.8,3.019,0.42261,49.31,1.326
20,668050.51,7069101.41,415.0,178.0,242.0,133.0,32.0,29.13,27.39,0.33,2.05,0.127,0.027,0.03,0.005,0.067,0.5,6.6,19.87,2.25,5.33,0.76,3.26,0.52,410.0,1.35,0.46,0.48,0.47,0.257,11.22,67.51,0.059,21.12,6.574,0.683,29.86,3.94,38.9,12.61,0.517,93.4,2.886
20,668050.51,7069101.41,407.0,176.0,231.0,154.0,32.0,29.81,28.12,0.15,2.19,0.146,0.005,0.03,0.005,0.007,0.5,7.5,8.26,1.1,5.49,0.75,3.55,0.56,581.8,1.34,0.45,0.275,0.248,0.106,13.57,70.05,0.025,15.36,3.319,0.712,32.63,4.053,22.2,4.639,0.462,70.34,0.561
21,684042.41,7068966.98,312.0,260.0,293.0,102.0,33.0,19.84,18.02,0.63,1.388,0.069,0.0025,0.01,0.005,0.136,0.5,7.54,12.497,1.36,4.8,0.66,2.72,0.48,373.2,1.72,0.57,0.272,0.35,0.199,10.59,61.78,0.039,21.87,7.894,0.55,25.86,2.458,27.81,7.49,0.45648,77.61,6.915
